歌名,歌手,情緒,連結
339,未知,開心,https://emotion-music-system.streamlit.app/stream/339.mp3
5,未知,平靜,https://emotion-music-system.streamlit.app/stream/5.mp3
239,未知,憂鬱,https://emotion-music-system.streamlit.app/stream/239.mp3
84,未知,激昂,https://emotion-music-system.streamlit.app/stream/84.mp3
